# AGH 过滤明细日志 - 生成于 2026-02-18 10:26:53.096248
# 总计过滤: 6039 条
================================================================================
[白名单] @@||ui.ads.microsoft.com^                # 被父域 [ads.microsoft.com] 覆盖
[黑名单] ||analytics.alright.network^             # 被父域 [alright.network] 覆盖
[黑名单] ||analytics.contentexchange.me^          # 被父域 [contentexchange.me] 覆盖
[黑名单] ||analytics.myfidevs.io^                 # 被父域 [myfidevs.io] 覆盖
[黑名单] ||analytics.myfinance.com^               # 被父域 [myfinance.com] 覆盖
[黑名单] ||analytics.qushad.com^                  # 被父域 [qushad.com] 覆盖
[黑名单] ||analytics.recruitics.com^              # 被父域 [recruitics.com] 覆盖
[黑名单] ||analytics.supplyframe.com^             # 被父域 [supplyframe.com] 覆盖
[黑名单] ||any.realbig.media^                     # 被父域 [realbig.media] 覆盖
[黑名单] ||apac.adpinfo.com^                      # 被父域 [adpinfo.com] 覆盖
[黑名单] ||api*.amplitude.com^                    # 被父域 [amplitude.com] 覆盖
[黑名单] ||api*.batmobi.net^                      # 被父域 [batmobi.net] 覆盖
[黑名单] ||api*.moengage.com^                     # 被父域 [moengage.com] 覆盖
[黑名单] ||api-pixels.easyadsapp.com^             # 被父域 [easyadsapp.com] 覆盖
[黑名单] ||api.adcalls.nl^                        # 被父域 [adcalls.nl] 覆盖
[黑名单] ||api.adviad.com^                        # 被父域 [adviad.com] 覆盖
[黑名单] ||api.affinesystems.com^                 # 被父域 [affinesystems.com] 覆盖
[黑名单] ||api.amplitude.com^                     # 被父域 [amplitude.com] 覆盖
[黑名单] ||api.bugsnag.com^                       # 被父域 [bugsnag.com] 覆盖
[黑名单] ||api.clickaine.com^                     # 被父域 [clickaine.com] 覆盖
[黑名单] ||api.flocktory.com^                     # 被父域 [flocktory.com] 覆盖
[黑名单] ||api.getdrip.com^                       # 被父域 [getdrip.com] 覆盖
[黑名单] ||api.ibeat-analytics.com^               # 被父域 [ibeat-analytics.com] 覆盖
[黑名单] ||api.inwemo.com^                        # 被父域 [inwemo.com] 覆盖
[黑名单] ||api.itaoxiaoshuo.com^                  # 被父域 [itaoxiaoshuo.com] 覆盖
[黑名单] ||api.moengage.com^                      # 被父域 [moengage.com] 覆盖
[黑名单] ||api.optnmnstr.com^                     # 被父域 [optnmnstr.com] 覆盖
[黑名单] ||api.rollbar.com^                       # 被父域 [rollbar.com] 覆盖
[黑名单] ||api.sail-personalize.com^              # 被父域 [sail-personalize.com] 覆盖
[黑名单] ||api.sprig.com^                         # 被父域 [sprig.com] 覆盖
